,hotel_id,price,stock,city,date,language,mobile,avatar_id,name
0,174,130,66,madrid,26,belgian,1,191034,avatar_d_random_0
1,873,207,77,madrid,26,belgian,1,191034,avatar_d_random_0
2,378,127,4,madrid,26,belgian,1,191034,avatar_d_random_0
3,2,90,58,madrid,26,belgian,1,191034,avatar_d_random_0
4,527,126,38,madrid,26,belgian,1,191034,avatar_d_random_0
5,393,127,38,madrid,26,belgian,1,191034,avatar_d_random_0
6,633,117,48,madrid,26,belgian,1,191034,avatar_d_random_0
7,966,63,19,madrid,26,belgian,1,191034,avatar_d_random_0
8,276,70,9,madrid,26,belgian,1,191034,avatar_d_random_0
9,618,102,28,madrid,26,belgian,1,191034,avatar_d_random_0
10,175,94,26,madrid,26,belgian,1,191034,avatar_d_random_0
11,483,94,5,madrid,26,belgian,1,191034,avatar_d_random_0
12,444,83,58,madrid,26,belgian,1,191034,avatar_d_random_0
13,7,89,18,madrid,26,belgian,1,191034,avatar_d_random_0
14,982,145,54,madrid,26,belgian,1,191034,avatar_d_random_0
15,847,84,54,madrid,26,belgian,1,191034,avatar_d_random_0
16,729,213,74,madrid,26,belgian,1,191034,avatar_d_random_0
17,93,217,60,madrid,26,belgian,1,191034,avatar_d_random_0
18,458,68,29,madrid,26,belgian,1,191034,avatar_d_random_0
19,258,156,48,madrid,26,belgian,1,191034,avatar_d_random_0
20,439,96,28,madrid,26,belgian,1,191034,avatar_d_random_0
21,138,67,17,madrid,26,belgian,1,191034,avatar_d_random_0
22,79,94,33,madrid,26,belgian,1,191034,avatar_d_random_0
23,108,88,20,madrid,26,belgian,1,191034,avatar_d_random_0
24,800,93,18,madrid,26,belgian,1,191034,avatar_d_random_0
25,135,217,80,madrid,26,belgian,1,191034,avatar_d_random_0
26,606,199,96,madrid,26,belgian,1,191034,avatar_d_random_0
27,561,63,25,madrid,26,belgian,1,191034,avatar_d_random_0
28,500,66,59,madrid,26,belgian,1,191034,avatar_d_random_0
29,860,131,32,madrid,26,belgian,1,191034,avatar_d_random_0
30,888,214,76,madrid,26,belgian,1,191034,avatar_d_random_0
31,798,211,67,madrid,26,belgian,1,191034,avatar_d_random_0
32,414,65,34,madrid,26,belgian,1,191034,avatar_d_random_0
33,322,83,27,madrid,26,belgian,1,191034,avatar_d_random_0
34,478,99,28,madrid,26,belgian,1,191034,avatar_d_random_0
35,75,99,27,madrid,26,belgian,1,191034,avatar_d_random_0
36,886,100,26,madrid,26,belgian,1,191034,avatar_d_random_0
37,102,202,96,madrid,26,belgian,1,191034,avatar_d_random_0
38,67,200,91,madrid,26,belgian,1,191034,avatar_d_random_0
39,697,133,34,madrid,26,belgian,1,191034,avatar_d_random_0
40,845,200,76,madrid,26,belgian,1,191034,avatar_d_random_0
41,717,224,64,madrid,26,belgian,1,191034,avatar_d_random_0
42,131,146,57,madrid,26,belgian,1,191034,avatar_d_random_0
43,126,83,29,madrid,26,belgian,1,191034,avatar_d_random_0
44,418,134,33,madrid,26,belgian,1,191034,avatar_d_random_0
45,836,137,59,madrid,26,belgian,1,191034,avatar_d_random_0
46,149,165,48,madrid,26,belgian,1,191034,avatar_d_random_0
47,904,104,26,madrid,26,belgian,1,191034,avatar_d_random_0
48,185,126,32,madrid,26,belgian,1,191034,avatar_d_random_0
49,241,126,26,madrid,26,belgian,1,191034,avatar_d_random_0
50,721,68,26,madrid,26,belgian,1,191034,avatar_d_random_0
51,939,140,74,madrid,26,belgian,1,191034,avatar_d_random_0
52,575,88,50,madrid,26,belgian,1,191034,avatar_d_random_0
53,235,134,34,madrid,26,belgian,1,191034,avatar_d_random_0
54,351,79,20,madrid,26,belgian,1,191034,avatar_d_random_0
55,909,67,13,madrid,26,belgian,1,191034,avatar_d_random_0
56,619,118,34,madrid,26,belgian,1,191034,avatar_d_random_0
57,333,86,26,madrid,26,belgian,1,191034,avatar_d_random_0
58,205,88,17,madrid,26,belgian,1,191034,avatar_d_random_0
59,901,223,70,madrid,26,belgian,1,191034,avatar_d_random_0
60,495,228,78,madrid,26,belgian,1,191034,avatar_d_random_0
61,398,63,17,madrid,26,belgian,1,191034,avatar_d_random_0
62,97,202,83,madrid,26,belgian,1,191034,avatar_d_random_0
63,964,133,36,madrid,26,belgian,1,191034,avatar_d_random_0
64,427,145,59,madrid,26,belgian,1,191034,avatar_d_random_0
65,791,91,28,madrid,26,belgian,1,191034,avatar_d_random_0
66,285,87,20,madrid,26,belgian,1,191034,avatar_d_random_0
67,936,127,40,madrid,26,belgian,1,191034,avatar_d_random_0
68,747,145,59,madrid,26,belgian,1,191034,avatar_d_random_0
69,828,115,20,madrid,26,belgian,1,191034,avatar_d_random_0
70,313,69,12,madrid,26,belgian,1,191034,avatar_d_random_0
71,54,82,52,madrid,26,belgian,1,191034,avatar_d_random_0
72,233,129,34,madrid,26,belgian,1,191034,avatar_d_random_0
73,310,62,44,madrid,26,belgian,1,191034,avatar_d_random_0
74,164,120,42,madrid,26,belgian,1,191034,avatar_d_random_0
75,252,157,55,madrid,26,belgian,1,191034,avatar_d_random_0
76,265,227,67,madrid,26,belgian,1,191034,avatar_d_random_0
77,941,66,15,madrid,26,belgian,1,191034,avatar_d_random_0
