,hotel_id,price,stock,city,date,language,mobile,avatar_id,name
0,466,136,23,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
1,466,136,23,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
2,466,136,23,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
3,746,154,32,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
4,746,154,32,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
5,746,154,32,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
6,424,172,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
7,424,172,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
8,424,172,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
9,988,135,22,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
10,988,135,22,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
11,988,135,22,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
12,521,70,9,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
13,521,70,9,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
14,521,70,9,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
15,861,173,30,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
16,861,173,30,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
17,861,173,30,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
18,377,133,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
19,377,133,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
20,377,133,31,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
21,592,246,35,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
22,592,246,35,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
23,592,246,35,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
24,325,96,8,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
25,325,96,8,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
26,325,96,8,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
27,501,74,11,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
28,501,74,11,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
29,501,74,11,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
30,476,118,24,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
31,476,118,24,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
32,476,118,24,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
33,376,153,51,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
34,376,153,51,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
35,376,153,51,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
36,719,146,48,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
37,719,146,48,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
38,719,146,48,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
39,360,188,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
40,360,188,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
41,360,188,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
42,237,143,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
43,237,143,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
44,237,143,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
45,491,151,49,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
46,491,151,49,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
47,491,151,49,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
48,512,185,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
49,512,185,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
50,512,185,29,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
51,363,133,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
52,363,133,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
53,363,133,26,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
54,160,96,10,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
55,160,96,10,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
56,160,96,10,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
57,334,75,12,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
58,334,75,12,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
59,334,75,12,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
60,709,132,16,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
61,709,132,16,valletta,21,romanian,1,300211,avatar_d_romanian_price_mean_villes_date_21
